x1 x2 x3 x4 t
0.00000 1.00000 10.00000 0.00000 0.00000
0.00000 0.99995 9.99995 0.00005 0.00000
0.00000 0.99990 9.99990 0.00010 0.00000
0.00000 0.99985 9.99985 0.00015 0.00000
0.00000 0.99980 9.99980 0.00020 0.00000
0.00000 0.99955 9.99955 0.00045 0.00000
0.00000 0.99930 9.99930 0.00070 0.00000
0.00000 0.99905 9.99905 0.00095 0.00000
0.00000 0.99880 9.99880 0.00120 0.00000
0.00000 0.99754 9.99754 0.00246 0.00000
0.00000 0.99630 9.99629 0.00370 0.00000
0.00000 0.99505 9.99505 0.00495 0.00000
0.00001 0.99381 9.99380 0.00619 0.00000
0.00001 0.98763 9.98762 0.01237 0.00001
0.00002 0.98153 9.98151 0.01847 0.00003
0.00003 0.97550 9.97546 0.02450 0.00005
0.00003 0.96954 9.96947 0.03046 0.00007
0.00006 0.94075 9.94047 0.05925 0.00028
0.00009 0.91358 9.91295 0.08642 0.00063
0.00013 0.88792 9.88682 0.11208 0.00110
0.00016 0.86370 9.86202 0.13630 0.00168
0.00022 0.82210 9.81904 0.17790 0.00306
0.00027 0.78471 9.77992 0.21529 0.00479
0.00033 0.75107 9.74424 0.24893 0.00683
0.00039 0.72081 9.71166 0.27919 0.00915
0.00048 0.68191 9.66893 0.31809 0.01298
0.00056 0.64855 9.63127 0.35145 0.01728
0.00065 0.61993 9.59795 0.38007 0.02198
0.00073 0.59536 9.56835 0.40464 0.02702
0.00085 0.56761 9.53336 0.43239 0.03425
0.00096 0.54501 9.50309 0.45499 0.04192
0.00108 0.52664 9.47669 0.47336 0.04994
0.00119 0.51167 9.45341 0.48833 0.05826
0.00134 0.49693 9.42815 0.50307 0.06878
0.00148 0.48550 9.40591 0.51450 0.07958
0.00162 0.47669 9.38609 0.52331 0.09060
0.00176 0.46987 9.36808 0.53013 0.10179
0.00193 0.46371 9.34857 0.53629 0.11514
0.00209 0.45919 9.33056 0.54081 0.12862
0.00226 0.45596 9.31375 0.54404 0.14221
0.00243 0.45363 9.29776 0.54637 0.15587
0.00263 0.45165 9.27949 0.54835 0.17215
0.00282 0.45037 9.26188 0.54963 0.18848
0.00302 0.44964 9.24478 0.55036 0.20485
0.00322 0.44925 9.22801 0.55075 0.22124
0.00347 0.44901 9.20751 0.55099 0.24151
0.00371 0.44905 9.18727 0.55095 0.26178
0.00396 0.44930 9.16725 0.55070 0.28205
0.00420 0.44966 9.14734 0.55034 0.30231
0.00452 0.45014 9.12179 0.54986 0.32835
0.00483 0.45071 9.09635 0.54929 0.35436
0.00515 0.45137 9.07103 0.54863 0.38034
0.00546 0.45205 9.04575 0.54795 0.40630
0.00589 0.45291 9.01172 0.54709 0.44119
0.00631 0.45381 8.97778 0.54619 0.47603
0.00674 0.45477 8.94395 0.54523 0.51082
0.00716 0.45573 8.91019 0.54427 0.54554
0.00774 0.45688 8.86471 0.54312 0.59217
0.00831 0.45811 8.81941 0.54189 0.63869
0.00888 0.45951 8.77439 0.54049 0.68512
0.00945 0.46087 8.72943 0.53913 0.73144
0.01007 0.46180 8.68009 0.53820 0.78171
0.01070 0.46306 8.63118 0.53694 0.83188
0.01132 0.46507 8.58308 0.53493 0.88199
0.01194 0.46682 8.53487 0.53318 0.93194
0.01235 0.46740 8.50298 0.53260 0.96442
0.01276 0.46816 8.47130 0.53184 0.99685
0.01316 0.46917 8.43991 0.53083 1.02926
0.01357 0.47017 8.40857 0.52983 1.06160
0.01397 0.47099 8.37712 0.52901 1.09387
